NaN,0
0.025038726083178097,1
0.01726106783710516,2
0.04309705051028004,3
0.09607303131216433,4
0.07800310685552071,5
0.06828733965901189,6
0.06041751646812754,7
0.05767694995113733,8
0.054548326182503055,9
0.046398275027178436,10
0.04228999567727735,11
0.03988228624077484,12
0.03823426308685746,13
0.037741440369764,14
0.04245782591397892,15
0.040785290019513976,16
0.03903234053208221,17
0.03901599279435421,18
0.030788466803455816,19
0.030738562961327588,20
0.03033022265695498,21
0.030228698009790958,22
0.030252280722740922,23
0.02902232158170286,24
